Title,No. of answers,No. of views,No. of votes,Users,Reputation,Time_stamp,Summary
"∑an diverges ⟺ for every (bn)⊂R s.t. ∑bnan diverges, ∑bnan+1 diverges also, and related questions",1,96,1,real-analysis,No detail available,2023,"Suppose (an)n∈N⊂R is decreasing and an>0 ∀n∈N. Then which of the following four implications are true, if any?

$\ \displaystyle\sum_{n\in\..."
Use historical data to build simple predictive equation,0,9,0,statistics,1,2023,We run an educational course and we start a new cohort on the first business day of every month. A 3rd party sends these students to us and every couple of days they send us a report that tells us how ...
voronoi diagram has at most quadratic complexity,1,18,1,computational-geometry,11,2023,"I am reading the book ""computational geometry"" by Mark the Berg, Cheong, van Kreveld, Overmars
(link to the book: https://erickimphotography.com/blog/wp-content/uploads/2018/09/Computational-..."
Prove basis independence of determinant with Levi-Civita symbol,0,45,1,linear-algebra,331,2023,"Let V be an N-dimensional vector space over C, and A a linear operator on it. Choose a basis {ei} of V, under which A is represented by the matrix Aij (upper/lower ..."
Statistic Question Normal Distribution [closed],0,19,-2,normal-distribution,1,2023,"Adult males in the U.S. consume, on average, 40 grams of saturated fat per day, with a
standard deviation of 7 grams. Assume that the amount 𝑋 of saturated fat consumed per day by
U.S. adult males ..."
Game Theory and Mr. Beast contest,0,67,0,game-theory,101,2023,"Mr. Beast held a contest in this video https://www.youtube.com/watch?v=0e3GPea1Tyg&t=1295s
It goes something like where around 500 people compete in a contest to earn around $500,000.
At certain ..."
Prove that n∑i=0(−1)i(ni)(kn−kin−1)=0,2,62,1,combinatorics,401,2023,"Given n∑i=0(−1)i(ni)(m−ik+n−1n−1) (which can be interpreted as the number of solution sets to the equation x1+x2+⋯+xn=m where 0≤xi<k), prove that $$\..."
"If φ is a homomorphism, φ: G⟶G′, |G| and |G'| is finite, then for every g ∈ G, o(φ(g)) | (g.c.d(|G|,|G'|)) [duplicate]",1,50,0,gcd-and-lcm,56,2023,"Assume φ:G⟶G′
is a homomorphism from G to G′.
prove:
if |G|,|G′| is finite then: o(φ(g)|(g.c.d(|G|,|G′|)).

My proof:

φ is homomorphism so we know o(φ(g))|o(g)
& G is a group so $o(..."
How to solve the integral ∫π0ln(sin(θ))sin(θ)dθ?,3,214,5,integration,378,2023,"Could you help me with a comprehensive one?  I have tried to solve it but I can't reach the result. The integral I am trying to evaluate is
∫π0ln(sin(θ))sin(θ)dθand ..."
Find limx→0x4sin(tan2(x))−tan2(sin(x)) without using a calculation [closed],1,69,-5,calculus,1,2023,"Find the limit
limx→0x4sin(tan2(x))−tan2(sin(x))
without using a calculator"
Laplace transform with scaled time variable,1,27,0,calculus,488,2023,"We know that by definition,
Lf(t)=∫∞0e−stf(t)dt. But how is Lf(at)=∫∞0e−stf(at)dt? Shouldn't e−st be replaced by e−s(at)  in the 2nd case since at ..."
Bounding ceiling functions,1,29,0,inequality,157,2023,"I am working on a function which I want to find a nice lower bound for it. The function is
$$
\left(\lceil \frac{x}{2}\rceil-\left|x-2\lceil\frac{x}{2}\rceil\right|\right)^2, \qquad \text{for }x\geq 0
..."
Using Lebesgue's Dominated Convergence Theorem to show convergence of a sequence of random variables,1,42,1,measure-theory,330,2023,"Let ξ and η be random variables on a probability space (Ω,F,P) such that E[|ξ|],E[|η|]<+∞.
I'd like to show that ξ can be ..."
Matrix exponentials of Jordan blocks,1,51,3,linear-algebra,41,2023,"Let f:C→C be an analytic function1.  Let λ∈C and let $$
J=\begin{pmatrix}
\lambda & 1 &  & &\\
 &\ddots& \ddots \\
 &  & \ddots& 1\\
&..."
Understand big O-notation for random graphs?,1,62,1,probability,79,2023,I was reading a bit in the book High-dimensional probability theory by Roman Vershynin and I was trying to do Exercise 2.4.2 and I do think I still have some misunderstandings regarding the statement ...
Mobius function on a product of Posets is the product of the mobius function on each poset,0,11,0,order-theory,41,2023,"I'm trying to prove that μP×Q((p1,q1),(p2,q2))=μP(p1,p2)μQ(q1,q2), and my attempt is by induction. By definition, I get that:
$\mu_{P\times Q}((p_1,q_1),(p_2,q_2))=-\..."
"Show that 1/2⋅(1−2x)3log(1−2x)−(1−x)3log(1−x)+x3logx is positive for x∈(0,1/2)",2,73,3,real-analysis,133,2023,"Define f(x)=1/2⋅(1−2x)3log(1−2x)−(1−x)3log(1−x)+x3logx.
I want to show f(x)>0 for all x∈(0,1/2), which I believe is true from plotting, but I'm not sure how to ..."
Extranatural transformations are a special case of dinatural transformations,1,45,2,category-theory,501,2023,"Recently I have been trying to understand extranatural and dinatural transformations. Here are the definitions I am working with.
From the nLab:

Let F:A×B×Bop→D and $G:A\times C\..."
infinite homotopy classes of maps between finite simplicial complexes,1,35,0,algebraic-topology,"1,058",2023,"This post proves that there are at most countably many homotopy classes of maps |K|→|L| for finite simplicial complexes K and L.
Can you give an example that there are countably infinite many ..."
Integral of birth-death process up to stopping time,0,24,0,probability-theory,121,2023,"We are trying to find the average sum of branches on a tree representing a birth-death process, with fixed birth and death parameters.
Let Xt be the number of individuals at time t≥0, with $..."
Connected components of real matrices such that M2=I,1,72,3,linear-algebra,819,2023,"Suppose that S is the set of all real n×n matrices A such that
A2=In. Since these matrices are diagonalizable with ±1 as eigenvalues, we get the partition $S=\cup_{0\leq k \leq n} ..."
Schur functors = Weyl functors in characteristic zero?,0,30,3,abstract-algebra,556,2023,"In the paper `Schur functors and Schur complexes' by Akin et al., the notion of a Schur functor had been defined for the first time over an arbitrary commutative ring R.
To recall the definition (I ..."
Find the area of a region defined by a complex inequation.,2,56,2,inequality,21,2023,"I just did a Calculus 1 test and I couldn't solve the first question, which goes as follows:

Find the area of the region defined by:

|z+12ˉz|≤7
I tried to use z=a+bi..."
How do I find the inverse of 13 in Z*19? [duplicate],0,57,-2,elementary-number-theory,1,2023,My math teacher keeps giving us problems but never teaching us how to do it. I'm so confused can someone explain how to find the inverse in this group theory problem? I honestly don't know what this ...
Is my method a good one for evaluating ∫10(x+2i√xtan(x))(x−2i√xtan(x))cos(x)−2cos(x)dx,2,82,1,calculus,"1,945",2023,"So I have a younger friend of mine (who I've mentioned before) who loves math, especially when it comes to integrals, and will sometimes give me (somewhat) abominations of integrals which I'm usually ..."
Inequality involving the imaginary part of a Hermitian inner product,1,70,0,partial-differential-equations,61,2023,"I am reading some lectures notes about microlocal analysis and I do not understand how an inequality is actually found.
Let Dx=−i∂x, u∈D′(R) and $\chi = 1_{[-1,1]..."
Connectivity of P2C curves [duplicate],0,12,0,algebraic-geometry,21,2023,"I have a question related to the document “plane algebraic curves” from Andreas Gathmann:
At page 37 Remark 5.12 (topology of complex curves), it is written:
let F be a smooth projective curve over C (..."
Solve sin(narctan(√15))=√152n+1,1,63,2,complex-numbers,"1,355",2023,"The original problem : Given that a1=a2=1 and an+2−an+1+4an=0 for n∈N, find all n such that an=1.
I got the following expression for an :
$$ ..."
Prooving the possibilty of factor cancelation in a congruence equation [closed],1,29,-2,modular-arithmetic,17,2023,"How can one prove that a∗c≡b∗cmod(n∗c) equals a≡bmod(n), the only thing I know thus far is that factor cancellation is only allowed if gcd(a,n)=1 i.e when a and n are ..."
Significance of t-tests and outlieres,1,48,2,statistics,23,2023,"I was performing paired t-tests and came across the example from the R function.
They show that addition of strong outlier can make the test more compliant about differences:
..."
Calculating the area between two plots,0,48,0,integration,223,2023,"I have a series of (x,y) data points where all the Y values are in ascending order. Since these are data points, it is possible to fit a linear, exponential or a polynomial trend line. Given a ..."
Logical disjunction in elementary toposes,2,106,5,logic,"3,136",2023,"I'm following Goldbaltt's Topoi: The categorial analysis of logic. I use this book's notation, but it is quite standard.
At some point, he defines disjunction as the morphism
$$\curlyvee:\Omega\times\..."
Deduce the density of the sets D and Q,0,89,1,real-analysis,401,2023,"I have a question.
Let b,n∈N such that b≥2 and n≥1.
Let's consider the set:
Qn={kbn,k∈N,0≤k<bn}
I have proven that ..."
The symmetry of the isotropic cartesian tensor of Newtonian fluid,0,25,1,tensors,11,2023,"I'm trying to prove the symmetry of the isotropic tensor in the linear relation between the shear stress and strain rate for Newtonian fluid
$$T_{ij}=\beta_{ijlm}\frac{\partial u_{l}}{\partial x_{m}}.$..."
Modeling Tetrahedral Numbers,1,67,0,algebra-precalculus,11,2023,"Would the best way to model tetrahedral numbers be:

A quadratic function because the 3rd successive differences are a nonzero constant.
A cubic function because the 3rd successive differences are a ..."
Can an imaginary sequence be produced to ease the equation of general term of a series whose common difference is in an AP,0,30,0,sequences-and-series,11,2023,"I came across a problem which follows the series: 2,3,6,11,18 and so on..
It can be observed that the common difference of the series was in an arithmetic progression..
Using the regular method of ..."
Prove that the probability of getting an even number is a strictly decreasing by λ,1,34,1,calculus,55,2023,"Would like to get some ideas for this problem, based on the information I have. The question:
""The probability of generating a certain number X is Poisson Distributed X∈Poi(λ). ..."
Show that for any set A and a relation R: R0=IdA,0,29,0,set-theory,33,2023,"We define the power of a relation in the following way:
R1=R
R2=R∘R
R3=R∘R2
and we want that for every n,m:Rn∘Rm=Rn+m.
More formally we can also define ..."
How many intersections does n degree two polynomials have?,1,47,0,polynomials,"1,263",2023,"Given n polynomials fi(x)=aix2+bix+ci, where ai,bi,ci∈R.
And assume that no two polynomials are identical.
The minimum number of intersections is 0 since one can let $\..."
Method for classifying irreducible C-representations of D10 of dimension 2,1,55,1,linear-algebra,946,2023,"D2n={r,s:rn=s2=e,srs=r−1} is the dihedral group with order 2n.
I'm trying to classify the 2-dimensional irreducible C-representations of D10 up to ..."
vector orthogonal question about missing steps in lecture notes [closed],0,26,-2,derivatives,1,2023,"Can someone please explain the steps highlight by the blue arrows please thanks!
hi sorry for the limited info, di are unit directional vectors d1 d2 and d3 , prime means derivative"
"Suppose p has the property that for any a, b ∈ Z, if p divides ab, then p divides a or p divides b. Is p prime? (p is integer and bigger than 1) [duplicate]",2,92,1,elementary-number-theory,21,2023,"To solve this question, I tried to prove the contraposition of the above statement is true, and then the original statement is also true.
Here is my solution.
Original statement: For all p in Z, if {..."
Hypothesis needed to show that liminfan≤limsupan.,0,44,2,sequences-and-series,41,2023,"I came across this exercise :
For all sequence (an)n∈N of element in R, establish the following inequality:
$$\lim_{n \to  +\infty} \inf a_n \leq \lim_{n \to  +\infty} \..."
Expectation of the Ito integral of a progressively measurable process,1,39,1,probability-theory,"1,326",2023,"I consider ϕ∈H22 the set of progressively measurable process such that
‖ϕ‖H22=E(∫∞0ϕ2sds)<∞
I would ..."
Seeking Assistance on Embeddings of Non-Homogeneous Besov Spaces and a Relation with Hölder Continuous Functions,0,15,0,fourier-analysis,1,2023,"Hello esteemed members,
I am currently grappling with some properties of non-homogeneous Besov spaces and am seeking guidance or references to aid my understanding.
Embedding of Besov Spaces: I aim to ..."
Isometry ⟹ reflection or rotation,1,47,0,linear-algebra,245,2023,"Every isometry that fixes the origin is either a rotation about the origin or a reflection in a line through the origin.

How can I prove this theorem?
Proving the converse is easy and I know how to ..."
Single line coupled 2nd order differential equation,1,127,2,calculus,425,2023,"In the paper 2111.05151 that I'm reading, there is a single coupled second-order differential equation (equation 71 in the paper),
\begin{equation}
r \ddot{z}_1 = z_1 \ddot{r}, \qquad z_1(v_0) = z_1(..."
"Prove or disprove: The direct sum of the multiplicative groups Un and Um, (m,n)=1, is multiplicative group.",2,102,2,abstract-algebra,56,2023,"I'm sorry if I am misunderstood. My native language is not English and this is my first time using this site.
I have home-work, to prove or to disprove the following statement:

Let m,n be natural ..."
Show that the union occurring in the definition of cantor-sets is disjoint.,0,37,0,analysis,53,2023,"The Cantor set C can also be defined as follows: Let A0:=[0,1] and Ak:=13Ak−1∪13(Ak−1+2) for k∈N. Then $ C=\bigcap_{k=0}^{\infty}..."
"Is sigma algebra σ(X,Y,X+Y)=σ(X,Y)?",1,89,1,probability-theory,"1,683",2023,"The question above challenged my knowledge of probability theory.
I knew that σ(X+Y)⊂σ(X,Y), discussion of which can be found for example here
Is it true that $\sigma(X+Y) \..."
Mean and variance of the product between a random variable and its integral over time,0,16,0,stochastic-processes,1,2023,"I have a random variable ""x"" distributed according to a given probability model. Let's take N realizations of it. Let's call ""y"" the cumulative sum of the realizations of ""x&..."
Finding limit of the fraction: limx→11−n√cos2nπx(x−1)(xx−1)? [closed],2,83,0,calculus,159,2023,"The limit of both the numerator and the denominator is 0, but how to find the limit of the fraction limx→11−n√cos2nπx(x−1)(xx−1)
I tried to use L 'Hospital's rule, ..."
"Angles Q > P > R are angles of a Triangle, where P, R are acute. What is the minimum value of Q?",0,37,0,geometry,11,2023,"I am not able to understand what is the method to apply for the same. I am able to find out the same via taking k+2>k+1>k, giving me 61>60>59 degrees, but I am not satisfied. kindly guide."
Steady state temperature in cylinder subjected to a prescribed temperature distribution,0,10,0,heat-equation,"1,419",2023,"My question:
Obtain an expression for the steady-state temperature distribution T(r,φ) in a long, solid cylinder0≤r≤b,0≤φ≤2π for the following boundary conditions: The ..."
V∗∗ not isomorphic to V,0,82,0,linear-algebra,631,2023,"I want an example where vector space V is not isomorphic to it's double dual space.
I took space of sequences which have only finitely many non zero elements as V and show that V∗ is a space of ..."
Proof check for connectivity of connected components,0,54,1,general-topology,"2,997",2023,Let X be a topological space. Declare x∼y in X whenever x and y are contained in some connected subspace of X. Then it's easily seen to be an equivalence relation. I am trying to show ...
Using Munkres formulation of the Hopf Trace formula to finish a proof of the Lefschetz Fixed Point Theorem,0,28,0,algebraic-topology,666,2023,"I am very inexperienced with Algebraic Topology but I am trying to put together a proof for the Lefschetz Fixed Point Theorem, that I can understand, for a presentation in class.
I am following ..."
Result of non-negativity condition,2,92,1,quadratics,13,2023,"Consider the non-negativity condition f(t)=t2‖v‖2−2t⟨u,v⟩+‖u‖2≥0.  Where u and v are vectors, and t being a real scalar.
In the process ..."
"Is x↦(ax+b)/2n in the affine groups of Z×2, Z2 and Q2?",0,31,0,abstract-algebra,"9,093",2023,"Is x↦(ax+b)/2n in the affine groups of Z×2, Z2 and Q2?
Or what quantification of a,b,n is necessary for f to be the group of invertible affine ..."
Expectation of some p.d.f. of Normal Distribution,1,47,1,probability,583,2023,"X∼Nn(0,In),Y∼Nn(μ,Σ) where Σ−1 exists, and g is the pdf of Y. Find the expression of EX[g(X)].

This is what I'm trying to solve. (Let f be the pdf of X) ..."
Alternate definition of the Dirac Delta function,0,56,0,definition,319,2023,"I was reading the wikipedia article on the Dirac Delta function, and what I saw was that the function needed to have a integral over the complete number line to be 1, and have a value of zero ..."
"How do you build a quadrilateral, knowing it's sides, their order, and that this quadrilateral has an inscribed circle?",0,20,0,euclidean-geometry,33,2023,"I want to build a quadrilateral with sides, for example, 2:3:5:4, knowing that it also has an inscribed circle (which all 4 sides are tangent to). How can you do it for a general case, using only a ..."
What is the symmetry group of the standard sphere packing?,1,45,1,abstract-algebra,"4,009",2023,"I know this is a very basic question, but I couldn't find an answer with Google:
What is the symmetry group of the usual sphere packing?
By the usual one, I mean the FCC lattice or HCP lattice. I am ..."
Linearly independence of algebraic power series [closed],1,73,0,linear-algebra,11,2023,"Let α be an algebraic power series of degree p satisfying Tαp−Tα+1=0.
My question is how we can prove that 1,α,α(T+1),α(T+2),...,α(T+p−1) are ..."
Double finite summations with linked indices: verifying intuitions from tabulation,1,34,1,sequences-and-series,63,2023,"In handling a separate problem (see this post), I've encountered the need to get rid of some double summations where the inner index is linked to the outer one. Having searched for ready-to-use ..."
"Let x, y, and z be positive real numbers. Prove the following inequality...",1,110,1,inequality,487,2023,"Question
Let x, y, and z be positive real numbers.  Prove the inequality:
A. x4+x2+7y+2+y4+y2+7z+2+z4+z2+7x+2>=x+y+z+6
B.
$\frac{x^4+x^2+7}{(y+2)^2}+\frac{..."
Heat transient problem in insulated cylinder,0,14,0,heat-equation,"1,419",2023,"I try to solve the below problem:
A long, hollow cylinder, a≤r≤b, is initially at a temperature of T=F(r). For times t>0 the boundaries at r=a and r=b are kept insulated...."
Determine the dimensions of the subspaces.,0,35,0,linear-algebra,"2,186",2023,"Let W1 denote the set of all polynomials f(x) in P(F) such that in the representation f(x)=anxn+an−1xn−1+···+a1x+a0, we have ai=0 whenever i is even. Likewise let $..."
"(F,G) is an adjoint pair iff there are morphisms of functors ϵ:idC→G∘F,η:F∘G→idD with commutative diagrams",0,33,0,category-theory,11,2023,"We are discussing category theory now. We got the following exercise in class. F:C→D, G:D→C. Show that (F,G) is an adjoint pair if and only if ..."
How to study a series with upper bound in the summand?,1,49,1,calculus,111,2023,"I am trying to show that, given (n,N)∈N2, N≥2, n<N, xn∈C with |xn|≤1, CV denoting convergence:
\begin{equation}\label{appeq:toprove}
	S_N =..."
Lists of even numbers and an odd number,0,29,0,combinatorics,545,2023,"I am asked to find the number of lists with 100 elements subject to two conditions:

Numbers chose must be from the set {1⋯48}
There must be only one odd number
Each even number must ..."
Simplify √2x+2√x2−y2 [closed],1,92,-3,algebra-precalculus,27,2023,"Is there any way I can simplify this expression? I have tried to do it with the a2−b2=(a−b)(a+b)  rule, but it does not make any sense to me.
√2x+2√x2−y2
Thanks."
Prove magnitude of zeros of polynomial ≤√5+12,1,144,3,algebra-precalculus,771,2023,"Let (a0,a2…,an−1)∈[0,1]n, and k∈C be a zero of f(x)=xn+an−1xn−1+⋯+a0. Prove that |k|≤√5+12.

Firstly, √5+12 seems to come from ..."
A problem about limitation,0,52,0,calculus,41,2023,"I tried to use the Squeeze Theorem, but it failed, and I tried to deal with it using the definition of the definite integral, which also failed.
$$\lim_{n\to\infty}\left(\sum_{k=1}^n\frac{2k}{n^2+n+k} ..."
Kock-Lawvere axiom. Am I right that after finding set of ε we must check elements of this set? [closed],0,152,-1,logic,425,2023,"I read about Kock-Lawvere axiom and I have question about it.

Definition 4.3. An infinitesimal on R is any nilsquare element of R, i.e. x2=0. We dnote the collection of infinitesimals on R ..."
Proving that a matrix of Gaussian distances is positive definite,1,22,0,matrices,485,2023,"I have a square matrix with elements Bij=e−c(i−j)2 for some c>0, i.e. a sort of matrix of Gaussian distances. How would I go about proving that this matrix is positive definite?
I ..."
Roll a die 10 times. What is the probability that there is at least one number (1 through 6) that appears exactly 3 times in the sequence?,1,113,0,probability,1,2023,"My attempt is 6∗(105)∗57610
I haven't figure out what to do next. Should I use inclusion-exclusion method?"
Question in regards to a lower bound in the proof of a linear continuum is connected under ordered topology,1,34,1,general-topology,999,2023,"In the proof below, the author sets out to prove that if X is a linear continuum, then X is connected under the ordered topology:

Suppose that X is disconnected, then there exists two non-empty ..."
Surface Area of an Ellipsoid AX2+BY2+CZ2+DXY+EXZ+FYZ−R20=0,2,98,3,geometry,292,2023,"I am attempting to determine the surface area of an ellipsoid described by the equation:
AX2+BY2+CZ2+DXY+EXZ+FYZ−R20=0.
When it comes to an ellipse aligned with its axes ..."
Set system containing no chain with k+1 sets [duplicate],0,48,1,real-analysis,111,2023,"Let F⊂P[n] be a set system such that each chain in it has at most k sets. Prove that n∑i=0|Fi|(ni)≤k,..."
Attribution of correlations given correlation between a variable and the sum of other two variables,1,47,0,statistics,21,2023,"Given,
ρ=Corr[X1,(X2+X3)]
and
ˆρ=Corr[X2,X3]
where Corr[] stands for Pearson correlation, how can Corr[X1, X2] and ..."
Examples of functions which are bell-shaped?,0,44,1,functions,19,2023,"I have been grouping functions based on how their graph looks like. I started with bell-shaped curves and have come up with the following functions:

cos, sin
sech (from -1 to 1)
Infinitely Smooth ..."
Are these R-homomorphisms necessary in this argument?,0,29,0,modules,308,2023,"I just started to learn some multilinear algebra, that I lacked in my undergraduate program. I decided to do it with the book of Douglas Northcott.
He defines what is going to be the solution for the ..."
Integral convergence of ∫∞0e−x+1dx converges or diverges? [closed],0,32,-1,calculus,467,2023,"How to determine if ∫∞0e−x+1dx
converges or diverges?"
Taylor expansion of multivariable composite function,1,23,0,analysis,311,2023,"I cannot find the formula, can someone help me with this? I need Taylor expansion of function f(g1(x1,x2,x3),g2(x1,x2,x3)) around (a1,a2,a3)."
Practical interpretation of bounding the norm of a function in RKHS [closed],0,10,-1,functional-analysis,1,2023,"I'm currently working with reproducing kernel Hilbert spaces (RKHS), and I've come across the concept of bounding the norm of a function in RKHS. While I understand the theoretical definition, I'm ..."
How does this definition give mutual independence of events?,1,52,2,probability,"1,843",2023,"I am not understanding how this definition gives mutual independence:

I am not seeing this because It seems the LHS of the equation will always be the null set, as Bi assumes both Ai and $\bar{..."
Probability that uniform distributed variable lies within interval,1,49,0,probability,335,2023,"If a,b is uniform in [0,1] what is the probability that a/b is in [1,3]
My friend was asked this question in an interview recently but I'm unsure of how to approach it.
I understand that a,b uniform ..."
Markov Chain hitting 2 states one after another - expected time?,2,74,0,probability-theory,153,2023,"Suppose we are given an ergodic Markov Chain (Xn)n∈N0 (finite state space E). By ""ergodic"" i mean that one can reach any state from any other state in finitely steps with ..."
come up with a generalised formula for area of n sides with L meters of fence. consider a large number of n and compare that to a circle,0,14,0,calculus,1,2023,questions before asked to compare area of a rectangle and isoceles triangle using 60m of fencing and then asked us to come up with a generalised form for L meters of fence showing that this is a ...
Limit theorem in Gut's Probability: A graduate course,1,28,0,probability,121,2023,"I'm trying to understand the proof of Theorem 3.1 in Probability: A graduate course.

The notation with the diagonal arrows was previously introduced to mean that a sequence of sets is non-decreasing/..."
What would be the judicious choice of a random variable in a coin toss experiment,1,42,0,random-variables,"2,149",2023,"Consider the following random variable:

X=1 if the flip of the coin is a head
X=0 if the flip of the coin is a tail

How the above definition of random variable is different from

X=1 if ..."
Relationship between surface integral and fubini's theorem,0,26,1,integration,65,2023,"I am studying about surface integral and recently have studied about fubini's theorem.
And I think there exists any relationship between 'surface integral' and 'fubini's theorem'.
As a result, I came ..."
"How to prove f(n)=O(g(n)),g(n)=O(f(n)) or both?",0,44,1,asymptotics,11,2023,"f(n) = n log n, g(n) = n sqrt(n)/2

f(n) = (n^2-n)/2 , g(n) = 6n
using big-O definition finding c, n0?
i have tried with big-O notation:
Let
f
f, the function to be estimated, be a real or complex ..."
Why can the dot product of two vectors be written in the form axbx+ayby+azbz [closed],1,48,-2,algebra-precalculus,7,2023,My intuition says that (ax+ay+az)⋅(bx+by+bz) would expand out to be a quadratic... Why isn't this the case?
"degree, genus, and birational map",1,46,0,algebraic-geometry,854,2023,"I'm confused on the following:
Suppose we have a polynomial f(T), e.g. Td, with degree d>2, then I consider the curve defined by y−f(x). Then there seems an obvious birational map given by
..."
How do I find the infinite sum of arctan(2−n)?,2,130,1,computer-science,21,2023,"I am looking at the CORDIC Algorithm and I want to show that iterative rotations by the nth angle given by arctan 2−n is greater than π2.
∞∑n=0arctan2−n"
How can I simplify a conjunction of disjunctions (CNF) statement if I can introduce extra variables?,0,10,0,satisfiability,1,2023,"I have a CNF.
Such as $$(x_{1} \lor x_2 \lor \lnot x_3 \lor \lnot x_4) \land (x_1 \lor \lnot x_2 \lor x_3 \lor \lnot x_4) \land (x_1 \lor \lnot x_2 \lor \lnot x_3 \lor x_4) \land (x_1 \lor \lnot x_2 \..."
"(α,β,ϵ)- DP-PAC learner with sample size polynomial, what is meant?",0,28,0,polynomials,558,2023,"In the case of a (α,β,ϵ)- DP-PAC learner (with finite hypothesis class Hd), what is meant by sample size polynomial in different expressions for d, α, β, ϵ?..."
Why isn't the dot product of two identical vectors equal to the magnitude of that vector?,1,50,0,vector-spaces,3,2023,"If I understand correctly, the dot product of two vectors give you a scalar quantity. This value tells you how much, or what magnitude, of the vectors are in each others direction. I also understand ..."
"Embedding of D(Ω) in Wk,p0(Ω)",1,56,2,functional-analysis,466,2023,"Wk,p0(Ω) is defined as the  closure of the set of all C∞c(Ω) under the topology generated by the norm Wk,p(Ω).
So clearly the identity map from $\mathcal{D}(\Omega)..."
Stochastic Modeling: Need Guidance on Measures & SDEs,1,37,0,measure-theory,"4,770",2023,"I'm embarking on a journey to master measure theory and integration, with the ultimate goal of comprehending stochastic differential equations, which are key to understanding various formalizations in ..."
Nullspace and Ranges Proof,0,18,0,linear-algebra,101,2023,"If we let A∈Rn×n, I want to prove that N(A)=N(ATA).
MY ATTEMPT
I already prove that N(A)⊆N(ATA). I just need clarification for the other direction. We can ..."
The homology groups of f−1(0) and f−1(1) [closed],0,49,-1,algebraic-topology,101,2023,"Let S2 be the 2-sphere. Define a map f:S2×S2→R by
f((x1,x2,x3),(y1,y2,y3))=x3+y3.
How to compute the homology groups of f−1(0) and f−1(1)?"
What is the relation between the stationary distribution and stability of probability flow ODE?,0,28,1,probability-distributions,129,2023,"According to Score-Based Generative Modeling through Stochastic Differential Equations, we have the following.
Definition (Forward SDE)
$$
\mathrm{d}\mathbf{x} = \mathbf{F}(\mathbf{x}, t)\mathrm{d}t + ..."
Solve an equation in Z,0,41,-2,number-theory,77,2023,"I want to solve an equation in Z, the equation is as follows
(a1x1+a2x2+a3x3+a4x4)2+(b2x2+b3x3+b4x4)2+p((c3x3+c4x4)2+d24x24)=M
$a_1,a_2,a_3,a_4,b_2,b_3,b_4,..."
